Row Created Date Time, Sponsor Name, Sponsor Code, Agency Name, Agency Code,Facility Name, Facility Code, Program Name, Program Code, Populations Served, Agency Phone, Program Phone,  Program Address 1, Program Address 2, Program City, Program State, Program Zip, Operating Certificate Required?, Program Tier, Operating Certificate Duration, Program County, Program Region, Program Type Description, Program Category Description, Program Subcategory Description,Location
04/27/2018 09:52:56 AM,Albany County Department of Mental Health,008099,Albany County Department of Mental Health,70520,Albany County Department of Mental Health,6901,Albany County ACT Program,471,Adults,(518)447-4537,(518)447-4668,175 Green Street,,Albany,NY,12202-2011,Y,,36,Albany,Hudson River,Assertive Community Treatment (ACT),Outpatient,Assertive Community Treatment,"175 Green Street
Albany, NY 12202-2011
(42.642015, -73.754312)"
04/27/2018 09:52:56 AM,Albany County Department of Mental Health,008099,Albany County Department of Mental Health,70520,Albany County Department of Mental Health,6901,Albany County DMH - HHCM,018,Adults,(518)447-4537,(518)447-4537,175 Green Street,,Albany,NY,12202,N,,,Albany,Hudson River,Health Home Care Management,Support,Care Coordination,"175 Green Street
Albany, NY 12202
(42.642015, -73.754312)"
04/27/2018 09:52:56 AM,Albany County Department of Mental Health,008099,Albany County Department of Mental Health,70520,Albany County Department of Mental Health,6901,Albany County DMH - HH NonMed CM,017,Adults,(518)447-4537,(518)447-4537,175 Green Street,,Albany,NY,12202,N,,,Albany,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,"175 Green Street
Albany, NY 12202
(42.642015, -73.754312)"
04/27/2018 09:52:56 AM,Albany County Department of Mental Health,008099,Albany County Department of Mental Health,70520,Albany County Department of Mental Health,6901,Albany County Mental Health Clinic,100,Children Adolescents Adults,(518)447-4537,(518)447-4555,260 South Pearl Street,,Albany,NY,12202-1809,Y,,36,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,"260 South Pearl Street
Albany, NY 12202-1809
(42.642565, -73.75638)"
04/27/2018 09:52:56 AM,Albany County Department of Mental Health,008099,Albany County Department of Mental Health,70520,Albany County Department of Mental Health,6901,Mobile Crisis Team,019,Adults,(518)447-4537,(518)549-6500,75 New Scotland Ave.,,Albany,NY,12208,N,,,Albany,Hudson River,Crisis  Intervention,Emergency,Crisis,"75 New Scotland Ave
Albany, NY 12208
(42.652557, -73.777893)"
04/27/2018 09:52:56 AM,Albany County Department of Mental Health,008099,Albany County Department of Mental Health,70520,Albany County Department of Mental Health,6901,Non Medicaid Care Coordination,014,Adults,(518)447-4537,(518)447-4537,175 Green Street,,Albany,NY,12202,N,,,Albany,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,"175 Green Street
Albany, NY 12202
(42.642015, -73.754312)"
04/27/2018 09:52:56 AM,Albany County Department of Mental Health,008099,Albany County Department of Mental Health,70520,Albany County Department of Mental Health,6901,Outreach,020,Adults,(518)447-4537,(518)447-4555,260 South Pearl Street,,Albany,NY,12202,N,,,Albany,Hudson River,Outreach,Support,General Support,"260 South Pearl Street
Albany, NY 12202
(42.642565, -73.75638)"
04/27/2018 09:52:56 AM,Albany County Department of Mental Health,008099,Albany County Department of Mental Health,70520,Albany County Department of Mental Health,6901,Peer Advocacy - Albany County,001,Adults,(518)447-4537,(518)447-4555,260 South Pearl Street,,Albany,NY,12202,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"260 South Pearl Street
Albany, NY 12202
(42.642565, -73.75638)"
04/27/2018 09:52:56 AM,Albany County Department of Mental Health,008099,Albany County Department of Mental Health,70520,Albany County Department of Mental Health,6901,Transition Management Services,009,Adults,(518)447-4537,(518)447-4537,175 Green Street,,Albany,NY,12202,N,,,Albany,Hudson River,Transition Management Services,Support,Care Coordination,"175 Green Street
Albany, NY 12202
(42.642015, -73.754312)"
04/27/2018 09:52:56 AM,Albany County Department for Children Youth and Families,781099,Albany Cty Dept for ChildrenYouth & Families,43660,Albany Cty Dept for ChildrenYouth & Families,7223,Albany County Children's Mental Health Clinic,001,Children Adolescents,(518)447-7324,(518)447-4550,260 South Pearl Street,First Floor,Albany,NY,12202-1809,Y,,36,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,"260 South Pearl Street
Albany, NY 12202-1809
(42.642565, -73.75638)"
04/27/2018 09:52:56 AM,Albany County Department for Children Youth and Families,781099,Albany Cty Dept for ChildrenYouth & Families,43660,Albany Cty Dept for ChildrenYouth & Families,7223,Health Home Care Management,010,Children Adolescents,(518)447-7324,(518)447-4550,260 South Pearl Street,,Albany,NY,12202,N,,,Albany,Hudson River,Health Home Care Management,Support,Care Coordination,"260 South Pearl Street
Albany, NY 12202
(42.642565, -73.75638)"
04/27/2018 09:52:56 AM,Albany County Department for Children Youth and Families,781099,Albany Cty Dept for ChildrenYouth & Families,43660,Albany Cty Dept for ChildrenYouth & Families,7223,Health Home Non-Medicaid Care Management,011,Children Adolescents,(518)447-7324,(518)447-4550,260 South Pearl Street,,Albany,NY,12202,N,,,Albany,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,"260 South Pearl Street
Albany, NY 12202
(42.642565, -73.75638)"
04/27/2018 09:52:56 AM,Albany Medical Center,011099,Albany Medical Center,81250,Albany Medical Center,6370,Albany Medical Center Psychiatric Inpatient Unit,020,Adults,(518)262-3125,(518)262-5518,43 New Scotland Avenue,E2 Secure Unit,Albany,NY,12208-3412,Y,,36,Albany,Hudson River,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,"43 New Scotland Avenue
Albany, NY 12208-3412
(42.653254, -73.77386)"
04/27/2018 09:52:56 AM,Albany Medical Center,011099,Albany Medical Center,81250,Albany Medical Center,6370,AMCH Psychiatry Outpatient Clinic,100,Adults,(518)262-3125,(518)262-7239,25 Hackett Boulevard,2nd Floor,Albany,NY,12208-3463,Y,,36,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,"25 Hackett Boulevard
Albany, NY 12208-3463
(42.644847, -73.779661)"
04/27/2018 09:52:56 AM,Capital Area Peer Services,630099,Capital Area Peer Services,11620,Capital Area Peer Services,8632,Advocacy (Stipends),476,,(518)427-5056,(518)427-5056x105,354 Central Avenue,,Albany,NY,12206,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"354 Central Avenue
Albany, NY 12206
(42.666242, -73.774191)"
04/27/2018 09:52:56 AM,Capital Area Peer Services,630099,Capital Area Peer Services,11620,Capital Area Peer Services,8632,Clinton Avenue Apartment Program,430,Adults,(518)427-5056,Not Available,,,,NY,,Y,1,36,Albany,Hudson River,Apartment/Support,Residential,Support Program,
04/27/2018 09:52:56 AM,Capital Area Peer Services,630099,Capital Area Peer Services,11620,Capital Area Peer Services,8632,Drop In Center,475,,(518)427-5056,(518)427-5056x105,354 Central Avenue,,Albany,NY,12206,N,,,Albany,Hudson River,Drop In Centers,Support,Self-Help,"354 Central Avenue
Albany, NY 12206
(42.666242, -73.774191)"
04/27/2018 09:52:56 AM,Capital Area Peer Services,630099,Capital Area Peer Services,11620,Capital Area Peer Services,8632,Peer Advocacy,474,,(518)427-5056,(518)427-5056x112,354 Central Avenue,,Albany,NY,12206,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"354 Central Avenue
Albany, NY 12206
(42.666242, -73.774191)"
04/27/2018 09:52:56 AM,Capital Area Peer Services,630099,Capital Area Peer Services,11620,Capital Area Peer Services,8632,Peer Run Warm Line,001,Adults,(518)427-5056,(518)427-5056x115,354 Central Avenue,,Albany,NY,12206,N,,,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,"354 Central Avenue
Albany, NY 12206
(42.666242, -73.774191)"
04/27/2018 09:52:56 AM,Capital District Psychiatric Center,072099,Capital District Psychiatric Center,90200,Capital District Psychiatric Center,0024,Capital District PC @ Albany Co DMH - HHCM,022,Adults,(518)549-6000,(518)447-4569x4504,175 Green Street,First Floor,Albany,NY,12202,N,,,Albany,Hudson River,Health Home Care Management,Support,Care Coordination,"175 Green Street
Albany, NY 12202
(42.642015, -73.754312)"
04/27/2018 09:52:56 AM,Capital District Psychiatric Center,072099,Capital District Psychiatric Center,90200,Capital District Psychiatric Center,0024,CDPC - Albany County Clinic Treatment Program,194,Adults,(518)549-6000,(518)447-9611x6742,75 New Scotland Avenue,Cdpc - Unit G,Albany,NY,12208-3409,Y,,36,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,"75 New Scotland Avenue
Albany, NY 12208-3409
(42.652557, -73.777893)"
04/27/2018 09:52:56 AM,Capital District Psychiatric Center,072099,Capital District Psychiatric Center,90200,Capital District Psychiatric Center,0024,CDPC-Children & Adolescent Services Clinic Treatment Program,144,Children Adolescents,(518)549-6000,(518)549-6929,75 New Scotland Avenue,,Albany,NY,12208-3409,Y,,36,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,"75 New Scotland Avenue
Albany, NY 12208-3409
(42.652557, -73.777893)"
