Agency Name,Program Name,Populations Served,Agency Phone,Program Phone,Program Address 1,Program City,Program State,Program Zip,Program County,Program Region,Program Type Description,Program Category Description,Program Subcategory Description,Complete Address,lat,lon
Albany County Department of Mental Health,Albany County ACT Program,Adults,(518)447-4537,(518)447-4668,175 Green Street,Albany,NY,12202-2011,Albany,Hudson River,Assertive Community Treatment (ACT),Outpatient,Assertive Community Treatment,175 Green Street Albany Albany NY US 12202-2011,42.641435,-73.754709
Albany County Department of Mental Health,Albany County DMH - HHCM,Adults,(518)447-4537,(518)447-4537,175 Green Street,Albany,NY,12202,Albany,Hudson River,Health Home Care Management,Support,Care Coordination,175 Green Street Albany Albany NY US 12202,42.641435,-73.754709
Albany County Department of Mental Health,Albany County DMH - HH NonMed CM,Adults,(518)447-4537,(518)447-4537,175 Green Street,Albany,NY,12202,Albany,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,175 Green Street Albany Albany NY US 12202,42.641435,-73.754709
Albany County Department of Mental Health,Albany County Mental Health Clinic,Children Adolescents Adults,(518)447-4537,(518)447-4555,260 South Pearl Street,Albany,NY,12202-1809,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,260 South Pearl Street Albany Albany NY US 12202-1809,42.64197,-73.7565934444444
Albany County Department of Mental Health,Mobile Crisis Team,Adults,(518)447-4537,(518)549-6500,75 New Scotland Ave.,Albany,NY,12208,Albany,Hudson River,Crisis  Intervention,Emergency,Crisis,75 New Scotland Ave. Albany Albany NY US 12208,42.6545666,-73.7797339414728
Albany County Department of Mental Health,Non Medicaid Care Coordination,Adults,(518)447-4537,(518)447-4537,175 Green Street,Albany,NY,12202,Albany,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,175 Green Street Albany Albany NY US 12202,42.641435,-73.754709
Albany County Department of Mental Health,Outreach,Adults,(518)447-4537,(518)447-4555,260 South Pearl Street,Albany,NY,12202,Albany,Hudson River,Outreach,Support,General Support,260 South Pearl Street Albany Albany NY US 12202,42.64197,-73.7565934444444
Albany County Department of Mental Health,Peer Advocacy - Albany County,Adults,(518)447-4537,(518)447-4555,260 South Pearl Street,Albany,NY,12202,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,260 South Pearl Street Albany Albany NY US 12202,42.64197,-73.7565934444444
Albany County Department of Mental Health,Transition Management Services,Adults,(518)447-4537,(518)447-4537,175 Green Street,Albany,NY,12202,Albany,Hudson River,Transition Management Services,Support,Care Coordination,175 Green Street Albany Albany NY US 12202,42.641435,-73.754709
Albany Cty Dept for ChildrenYouth & Families,Albany County Children's Mental Health Clinic,Children Adolescents,(518)447-7324,(518)447-4550,260 South Pearl Street,Albany,NY,12202-1809,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,260 South Pearl Street Albany Albany NY US 12202-1809,42.64197,-73.7565934444444
Albany Cty Dept for ChildrenYouth & Families,Health Home Care Management,Children Adolescents,(518)447-7324,(518)447-4550,260 South Pearl Street,Albany,NY,12202,Albany,Hudson River,Health Home Care Management,Support,Care Coordination,260 South Pearl Street Albany Albany NY US 12202,42.64197,-73.7565934444444
Albany Cty Dept for ChildrenYouth & Families,Health Home Non-Medicaid Care Management,Children Adolescents,(518)447-7324,(518)447-4550,260 South Pearl Street,Albany,NY,12202,Albany,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,260 South Pearl Street Albany Albany NY US 12202,42.64197,-73.7565934444444
Albany Medical Center,Albany Medical Center Psychiatric Inpatient Unit,Adults,(518)262-3125,(518)262-5518,43 New Scotland Avenue,Albany,NY,12208-3412,Albany,Hudson River,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,43 New Scotland Avenue Albany Albany NY US 12208-3412,42.6538105,-73.7769585165204
Albany Medical Center,AMCH Psychiatry Outpatient Clinic,Adults,(518)262-3125,(518)262-7239,25 Hackett Boulevard,Albany,NY,12208-3463,Albany,Hudson River,Clinic Treatment,Outpatient,Clinic Treatment,25 Hackett Boulevard Albany Albany NY US 12208-3463,42.64634275,-73.7799596979975
Capital Area Peer Services,Advocacy (Stipends),Not Reported,(518)427-5056,(518)427-5056x105,354 Central Avenue,Albany,NY,12206,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,354 Central Avenue Albany Albany NY US 12206,42.6661966666667,-73.7742606666667
Capital Area Peer Services,Drop In Center,Not Reported,(518)427-5056,(518)427-5056x105,354 Central Avenue,Albany,NY,12206,Albany,Hudson River,Drop In Centers,Support,Self-Help,354 Central Avenue Albany Albany NY US 12206,42.6661966666667,-73.7742606666667
Capital Area Peer Services,Peer Advocacy,Not Reported,(518)427-5056,(518)427-5056x112,354 Central Avenue,Albany,NY,12206,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,354 Central Avenue Albany Albany NY US 12206,42.6661966666667,-73.7742606666667
Capital Area Peer Services,Peer Run Warm Line,Adults,(518)427-5056,(518)427-5056x115,354 Central Avenue,Albany,NY,12206,Albany,Hudson River,Advocacy/Support Services,Support,Self-Help,354 Central Avenue Albany Albany NY US 12206,42.6661966666667,-73.7742606666667
Capital District Psychiatric Center,Capital District PC @ Albany Co DMH - HHCM,Adults,(518)549-6000,(518)447-4569x4504,175 Green Street,Albany,NY,12202,Albany,Hudson River,Health Home Care Management,Support,Care Coordination,175 Green Street Albany Albany NY US 12202,42.641435,-73.754709
