Agency Name,Program Name,Populations Served,Agency Phone,Program Phone,Program Address 1,Program City,Program State,Program Zip,Program County,Program Region,Program Type Description,Program Category Description,Program Subcategory Description,Complete Address,lat,lon
Capital Area Peer Services,Clinton Avenue Apartment Program,Adults,(518)427-5056,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Apartment/Support,Residential,Support Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Capital District Psychiatric Center,Jansen House,Adults,(518)549-6000,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Capital District Psychiatric Center,New Scotland Residence TPP,Adults,(518)549-6000,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Equinox Inc.,Clearview Supp Housing/PC Long Stay Albany County-Comm Svcs,Adults,(518)435-9931,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Equinox Inc.,Cohoes Community Residence,Adults,(518)435-9931,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Equinox Inc.,Equinox Apartment Program,Adults,(518)435-9931,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Apartment/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Equinox Inc.,Holt House,Adults,(518)435-9931,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Equinox Inc.,Recovery Residence,Adults,(518)435-9931,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Homeless and Travelers Aid Society,HATAS Supp Hsing/STP Forensic Albany Cty - Comm Svcs,Adults,(518)463-2124,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Homeless and Travelers Aid Society,HATAS Supported Housing/Albany County S+C-Comm.Svcs.,Adults,(518)463-2124,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Parsons Child and Family Center,Miriam House,Adolescents,(518)426-2600,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Children & Youth Community Residence,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Parsons Child and Family Center,OMH - Probation Initiative,Not Reported,(518)426-2600,(518)426-2600,401 New Karner Road Suite 200,Albany,NY,12205,Albany,Hudson River,Outreach,Support,General Support,401 New Karner Road Suite 200 Albany Albany NY US 12205,"NA","NA"
Parsons Child and Family Center,Orissa Healy House,Children,(518)426-2600,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Crisis Residence,Emergency,Crisis,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,ALBANY MRT CRISIS S/H,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Crisis/Respite Beds,Emergency,Crisis,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,ALBANY NURSE OUTREACH,Adults,(518)464-1511,(518)462-1094,747 Madison Avenue 2nd Floor,Albany,NY,12208,Albany,Hudson River,Outreach,Support,General Support,747 Madison Avenue 2nd Floor Albany Albany NY US 12208,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Albany Apartments,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Apartment/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Albany Enhanced Supp Housing - Scattered - Comm. Svcs,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Housing Options Plus,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Apartment/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - McKownville Residence,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - MICA Apartments,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Apartment/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Northern Boulevard Community Residence,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - South Lake Community Residence,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - South Main Community Residence,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS Supp Housing/Transformation SH Albany - Comm Svcs,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Supported Housing/Aging Out - Comm. Svcs,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Supported Housing/Albany Co PC Long Stay - Comm. Svcs,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Supported Housing/Albany County - Comm. Svcs,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Supported Housing/Albany - Homeless,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Supported Housing/Albany New Initiative,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Supported Housing/Albany South End - Comm. Svcs,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Supported Housing/Community Living - Comm. Svcs,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
Rehabilitation Support Services Inc.,RSS - Supported Housing/Homeless MICA - Comm. Svcs,Adults,(518)464-1511,Not Available,Not Reported,Not Reported,NY,Not Reported,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,Not Reported Not Reported Albany NY US Not Reported,"NA","NA"
